"Job title (original)","Job title (short)","Company","Country","State","City","Schedule type","Experience years","Seniority","Skills","Degrees","Software"
"B2B Sales Function","Marketing Specialist","Bending Spoons","Italy","Unknown","Milan","Full-time","3-5","Mid","Problem Solving, Product Management, Marketing, Sales, Cross-functional Collaboration, Team Leadership","",""
"FREELANCE para ventas y promoción de productos a través de redes sociales.","Marketing Specialist","Unknown","Unknown","Unknown","Unknown","Contract","Unknown","Unknown","Sales, Marketing, Process Optimization, Cross-functional Collaboration, Business Acumen","",""
"Business Analyst at Gammaux","Business Analyst","Gammaux","Spain","Unknown","Barcelona","Full-time","0-3","Junior","Product Management, Data Analysis, API, Cloud Computing, Marketing, Business Acumen, Cross-functional Collaboration, Communication, Project Management, Quality Control","Bachelor's Degree",""
"UX Designer","UX/UI Designer","DoiT","European Union","Unknown","Unknown","Full-time","3+","Mid","User Research, UI/UX Design, User-Centered Design, Cross-functional Collaboration, Communication","Bachelor's Degree","Figma, Jira"
"Quality Assurance Specialist","Other","Speexx","Spain","Unknown","Madrid","Unknown","0-3","Junior","Quality Control, Agile, Process Optimization, Problem Solving, Data Analysis, Cross-functional Collaboration, Communication","Bachelor's Degree, Engineering","Microsoft Excel, Jira, Confluence, SQL"
"creador/a de contenido y community manager junior","Marketing Specialist","Credexia Marketing","Spain","Unknown","Valencia","Unknown","0-3","Junior","Marketing, Communication, Project Management, Data Analysis, Business Acumen, Cross-functional Collaboration, Problem Solving","Other","Adobe Creative Suite"
"PMO Junior / Jefe de Proyecto","Project Manager","Aubay","Spain","Unknown","Madrid","Contract","0-3","Junior","Project Management, Communication, Cross-functional Collaboration, Problem Solving","","Microsoft Excel"
"PRODUCT INTERN AT ZENOWN AI SCALE-UP","Product Manager","ZenOwn AI","Unknown","Unknown","Unknown","Internship","0-3","Intern","Project Management, Data Analysis, Communication, Problem Solving, Process Optimization, Technical Writing, Business Acumen, Cross-functional Collaboration, Product Management","",""
"Administrativo/a","Other","OPTIMISSA","Unknown","Unknown","Unknown","Full-time","Unknown","Unknown","Problem Solving, Document Management, Technical Writing, Cross-functional Collaboration, Communication, Business Acumen","","Microsoft Excel, Word"
"Product Owner for Apps","Product Manager","Leadtech","Spain","Unknown","Barcelona","Full-time","Unknown","Unknown","Data Analysis, Communication, Team Leadership, Cross-functional Collaboration, Problem Solving, Agile, Product Management, Project Management, Document Management, Process Optimization, Statistical Reporting","",""
"Product Designer","Product Designer","Revolut","Unknown","Unknown","Unknown","Full-time","3-5","Mid","Product Design, User-Centered Design, Problem Solving, Cross-functional Collaboration, Product Management, User Research, Communication, Business Acumen","Bachelor's Degree, Master's Degree",""
"profesional de soporte de procesos transaccionales para la plataforma de LMS","Process Designer","Grupo BID","Unknown","Unknown","Unknown","Contract","3-5","Mid","Process Optimization, Problem Solving, Technical Writing, Document Management, Data Analysis, Cross-functional Collaboration","Bachelor's Degree","SAP, Microsoft Excel"
"Product Owner – Conversational AI","Product Manager","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Senior","Machine Learning, Product Management, Agile, Scrum, Project Management, Cross-functional Collaboration, Communication","",""
"Spanish Telephone/Video Interpreter (Freelance, Remote)","Other","Dals","European Union","Unknown","Unknown","Contract","Unknown","Unknown","Communication","",""
"profesor/a particular","Other","Tusclasesparticulares","Unknown","Unknown","Unknown","Part-time","0-3","Junior","Communication, Problem Solving","",""
"Catalogues Manager","Marketing Specialist","IWG","European Union","Unknown","Unknown","Unknown","5+","Manager","Project Management, Marketing, Communication, User Research, Sales, Business Acumen, Cross-functional Collaboration","",""
"Product Manager","Product Manager","Fever","Unknown","Unknown","Unknown","Unknown","5+","Lead","Product Management, Project Management, Agile, Scrum, Data Analysis, Communication, Problem Solving, Business Acumen, Cross-functional Collaboration, Team Leadership, User Research, Technical Writing, Statistical Reporting","Bachelor's Degree, Engineering","Jira"
"Gestión de componentes QA","DevOps Engineer","Sogeti","Unknown","Unknown","Unknown","Full-time","0-3","Mid","Quality Control, Process Optimization, Communication, Cross-functional Collaboration","Engineering","Jenkins, JFrog Artifactory"
"Medical Device Marketing Manager","Product Manager","Unknown","Unknown","Unknown","Unknown","Unknown","5+","Senior","Product Management, Marketing, Regulatory Compliance, Business Acumen, Cross-functional Collaboration, Problem Solving, Communication","",""
"Project Manager","Project Manager","Satlink","Spain","Unknown","Unknown","Unknown","3-5","Mid","Project Management, Communication, Problem Solving, Cross-functional Collaboration, Team Leadership","Bachelor's Degree, Engineering, Other","Microsoft Excel, Salesforce"
"Product Marketing Manager","Product Manager","BioCatch","Germany, Spain, Israel, France","Unknown","Unknown","Unknown","3-5","Mid","Product Management, Marketing, Data Analysis, Business Acumen, Technical Writing, Sales, Cross-functional Collaboration, Communication, Problem Solving","Bachelor's Degree, Master's Degree",""
"Plan de Becas para recién titulados/as","Data Analyst","Endesa","Spain","Unknown","Madrid","Full-time","0-3","Intern","Communication, Team Leadership, Project Management, Agile, Data Analysis, Data Visualization, Machine Learning, Business Acumen, Marketing, Regulatory Compliance","Bachelor's Degree","Python, SQL, Power BI"
"Data Analyst","Data Analyst","Unknown","Unknown","Unknown","Unknown","Unknown","0-3","Junior","Data Analysis, Data Visualization","Bachelor's Degree, Engineering","SQL, Python, R, Power BI, Tableau"
"Product Manager","Product Manager","Seedtag","Spain","Unknown","Madrid","Unknown","5+","Mid","Product Management, Communication, Problem Solving, Data Analysis, Cross-functional Collaboration, Team Leadership, Business Acumen","Engineering",""
"SaaS Product Manager","Product Manager","Santander Auto Software","European Union","Unknown","Unknown","Full-time","5+","Senior","Product Management, Agile, Scrum, Data Analysis, User Research, Product Design, Project Management, Communication, Problem Solving, Business Acumen, Cross-functional Collaboration, Technical Writing, User-Centered Design","Bachelor's Degree","Jira, Figma, GitLab"
"Industrial Product Designer","Product Designer","Unknown","Unknown","Unknown","Unknown","Unknown","3-5","Mid","Product Design, Technical Writing, Document Management, Project Management, Communication, Cross-functional Collaboration, Business Acumen, Quality Control, Supply Chain","",""
"Inbound Marketing Trainee","Marketing Specialist","InboundCycle","Spain","Unknown","Unknown","Part-time","0-3","Intern","Marketing, Data Analysis, Statistical Reporting, Communication, Business Acumen, Cross-functional Collaboration","Higher Education","MOZ, HubSpot, Google Analytics, Ahrefs, ActiveCampaign, Facebook Ads"
"junior B2B Marketing professional willing to grow in the Marketing Operations field","Marketing Specialist","IVICUO","Spain","Unknown","Unknown","Full-time","0-3","Junior","Marketing, Data Analysis, Statistical Reporting, Quality Control, Communication, Document Management, Process Optimization, Problem Solving, Cross-functional Collaboration, Business Acumen","","Salesforce"
"Responsable para Bihotz Mujer","Other","Bihotz Mujer","Spain","Unknown","Unknown","Full-time","5+","Manager","Project Management, Business Acumen, Team Leadership, Marketing, Sales, Product Management, Supply Chain, Communication","",""
"Customer Pricing Analyst","Business Analyst","Avantor","Unknown","Unknown","Unknown","Unknown","3-5","Mid","Data Analysis, Communication, Problem Solving, Process Optimization, Regulatory Compliance, Auditing, Business Acumen, Project Management, Product Management, Cross-functional Collaboration","Bachelor's Degree","Microsoft Excel, SAP"
"Project Manager en Smart Mobility","Project Manager","COTESA","Spain","Unknown","Unknown","Full-time","3-5","Mid","Project Management, Agile, User-Centered Design, Team Leadership, Cross-functional Collaboration, Data Analysis, Process Optimization, Problem Solving, Business Acumen, Product Management, Machine Learning","Engineering",""
